,Year,Category,Prize,Prize Share,Laureate ID,Laureate Type,Full Name,Birth Date,Birth City,Birth Country,Sex,Organization Name,Organization City,Organization Country
11,1902,Physics,The Nobel Prize in Physics 1902,1/2,2,Individual,Hendrik Antoon Lorentz,1853-07-18,Arnhem,Netherlands,Male,Leiden University,Leiden,Netherlands
12,1902,Physics,The Nobel Prize in Physics 1902,1/2,3,Individual,Pieter Zeeman,1865-05-25,Zonnemaire,Netherlands,Male,Amsterdam University,Amsterdam,Netherlands
13,1903,Chemistry,The Nobel Prize in Chemistry 1903,1/1,162,Individual,Svante August Arrhenius,1859-02-19,Vik,Sweden,Male,Stockholm University,Stockholm,Sweden
14,1903,Literature,The Nobel Prize in Literature 1903,1/1,572,Individual,Bjørnstjerne Martinus Bjørnson,1832-12-08,Kvikne,Norway,Male,Self,Self,Self
15,1903,Medicine,The Nobel Prize in Physiology or Medicine 1903,1/1,295,Individual,Niels Ryberg Finsen,1860-12-15,Thorshavn,Faroe Islands (Denmark),Male,Finsen Medical Light Institute,Copenhagen,Denmark
16,1903,Peace,The Nobel Peace Prize 1903,1/1,466,Individual,William Randal Cremer,1828-03-18,Fareham,United Kingdom,Male,Self,Self,Self
17,1903,Physics,The Nobel Prize in Physics 1903,1/2,4,Individual,Antoine Henri Becquerel,1852-12-15,Paris,France,Male,École Polytechnique,Paris,France
18,1903,Physics,The Nobel Prize in Physics 1903,1/4,5,Individual,Pierre Curie,1859-05-15,Paris,France,Male,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France
19,1903,Physics,The Nobel Prize in Physics 1903,1/4,6,Individual,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Female,self,self,self
20,1904,Chemistry,The Nobel Prize in Chemistry 1904,1/1,163,Individual,Sir William Ramsay,1852-10-02,Glasgow,Scotland,Male,University College,London,United Kingdom
21,1904,Literature,The Nobel Prize in Literature 1904,1/2,573,Individual,Frédéric Mistral,1830-09-08,Maillane,France,Male,Self,Self,Self
22,1904,Literature,The Nobel Prize in Literature 1904,1/2,574,Individual,José Echegaray y Eizaguirre,1832-04-19,Madrid,Spain,Male,Self,Self,Self
23,1904,Medicine,The Nobel Prize in Physiology or Medicine 1904,1/1,296,Individual,Ivan Petrovich Pavlov,1849-09-14,Ryazan,Russia,Male,Military Medical Academy,St. Petersburg,Russia
25,1904,Physics,The Nobel Prize in Physics 1904,1/1,8,Individual,Lord Rayleigh (John William Strutt),1842-11-12,"Langford Grove, Maldon, Essex",United Kingdom,Male,Royal Institution of Great Britain,London,United Kingdom
26,1905,Chemistry,The Nobel Prize in Chemistry 1905,1/1,164,Individual,Johann Friedrich Wilhelm Adolf von Baeyer,1835-10-31,Berlin,Prussia (Germany),Male,Munich University,Munich,Germany
27,1905,Literature,The Nobel Prize in Literature 1905,1/1,575,Individual,Henryk Sienkiewicz,1846-05-05,Wola Okrzejska,Poland,Male,Self,Self,Self
28,1905,Medicine,The Nobel Prize in Physiology or Medicine 1905,1/1,297,Individual,Robert Koch,1843-12-11,Clausthal (Clausthal-Zellerfeld),Germany,Male,Institute for Infectious Diseases,Berlin,Germany
29,1905,Peace,The Nobel Peace Prize 1905,1/1,468,Individual,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",1843-06-09,Prague,Austrian Empire (Czech Republic),Female,Self,Self,Self
30,1905,Physics,The Nobel Prize in Physics 1905,1/1,9,Individual,Philipp Eduard Anton von Lenard,1862-06-07,Pressburg (Bratislava),Hungary (Slovakia),Male,Kiel University,Kiel,Germany
31,1906,Chemistry,The Nobel Prize in Chemistry 1906,1/1,165,Individual,Henri Moissan,1852-09-28,Paris,France,Male,Sorbonne University,Paris,France
32,1906,Literature,The Nobel Prize in Literature 1906,1/1,576,Individual,Giosuè Carducci,1835-07-27,Val di Castello,Tuscany (Italy),Male,Self,Self,Self
33,1906,Medicine,The Nobel Prize in Physiology or Medicine 1906,1/2,298,Individual,Camillo Golgi,1843-07-07,Corteno,Italy,Male,Pavia University,Pavia,Italy
34,1906,Medicine,The Nobel Prize in Physiology or Medicine 1906,1/2,299,Individual,Santiago Ramón y Cajal,1852-05-01,Petilla de Aragó,Spain,Male,Madrid University,Madrid,Spain
35,1906,Peace,The Nobel Peace Prize 1906,1/1,470,Individual,Theodore Roosevelt,1858-10-27,"New York, NY",United States of America,Male,Self,Self,Self
36,1906,Physics,The Nobel Prize in Physics 1906,1/1,10,Individual,Joseph John Thomson,1856-12-18,"Cheetham Hill, near Manchester",United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom
37,1907,Chemistry,The Nobel Prize in Chemistry 1907,1/1,166,Individual,Eduard Buchner,1860-05-20,Munich,Bavaria (Germany),Male,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany
38,1907,Literature,The Nobel Prize in Literature 1907,1/1,577,Individual,Rudyard Kipling,1865-12-30,Bombay,British India (India),Male,Self,Self,Self
39,1907,Medicine,The Nobel Prize in Physiology or Medicine 1907,1/1,300,Individual,Charles Louis Alphonse Laveran,1845-06-18,Paris,France,Male,Institut Pasteur,Paris,France
40,1907,Peace,The Nobel Peace Prize 1907,1/2,471,Individual,Ernesto Teodoro Moneta,1833-09-20,Milan,Austrian Empire (Italy),Male,Self,Self,Self
41,1907,Peace,The Nobel Peace Prize 1907,1/2,472,Individual,Louis Renault,1843-05-21,Autun,France,Male,Sorbonne University,Paris,France
42,1907,Physics,The Nobel Prize in Physics 1907,1/1,11,Individual,Albert Abraham Michelson,1852-12-19,Strelno (Strzelno),Prussia (Poland),Male,University of Chicago,"Chicago, IL",United States of America
43,1908,Chemistry,The Nobel Prize in Chemistry 1908,1/1,167,Individual,Ernest Rutherford,1871-08-30,Nelson,New Zealand,Male,Victoria University,Manchester,United Kingdom
44,1908,Literature,The Nobel Prize in Literature 1908,1/1,578,Individual,Rudolf Christoph Eucken,1846-01-05,Aurich,East Friesland (Germany),Male,Self,Self,Self
45,1908,Medicine,The Nobel Prize in Physiology or Medicine 1908,1/2,301,Individual,Ilya Ilyich Mechnikov,1845-05-15,Kharkov (Kharkiv),Russian Empire (Ukraine),Male,Institut Pasteur,Paris,France
46,1908,Medicine,The Nobel Prize in Physiology or Medicine 1908,1/2,302,Individual,Paul Ehrlich,1854-03-14,Strehlen (Strzelin),Prussia (Poland),Male,Goettingen University,Göttingen,Germany
48,1908,Peace,The Nobel Peace Prize 1908,1/2,473,Individual,Klas Pontus Arnoldson,1844-10-27,Gothenburg,Sweden,Male,Self,Self,Self
49,1908,Peace,The Nobel Peace Prize 1908,1/2,474,Individual,Fredrik Bajer,1837-04-21,Næstved,Denmark,Male,Self,Self,Self
50,1908,Physics,The Nobel Prize in Physics 1908,1/1,12,Individual,Gabriel Lippmann,1845-08-16,Hollerich,Luxembourg,Male,Sorbonne University,Paris,France
51,1909,Chemistry,The Nobel Prize in Chemistry 1909,1/1,168,Individual,Wilhelm Ostwald,1853-09-02,Riga,Russian Empire (Latvia),Male,Leipzig University,Leipzig,Germany
52,1909,Literature,The Nobel Prize in Literature 1909,1/1,579,Individual,Selma Ottilia Lovisa Lagerlöf,1858-11-20,Mårbacka,Sweden,Female,Self,Self,Self
53,1909,Medicine,The Nobel Prize in Physiology or Medicine 1909,1/1,303,Individual,Emil Theodor Kocher,1841-08-25,Berne,Switzerland,Male,Berne University,Berne,Switzerland
54,1909,Peace,The Nobel Peace Prize 1909,1/2,475,Individual,Auguste Marie François Beernaert,1829-07-26,Ostend,Belgium,Male,Self,Self,Self
55,1909,Peace,The Nobel Peace Prize 1909,1/2,476,Individual,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",1852-11-22,La Flèche,France,Male,Self,Self,Self
56,1909,Physics,The Nobel Prize in Physics 1909,1/2,13,Individual,Guglielmo Marconi,1874-04-25,Bologna,Italy,Male,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom
57,1909,Physics,The Nobel Prize in Physics 1909,1/2,14,Individual,Karl Ferdinand Braun,1850-06-06,Fulda,Hesse-Kassel (Germany),Male,Strasbourg University,Strasbourg,"Alsace (then Germany, now France)"
58,1910,Chemistry,The Nobel Prize in Chemistry 1910,1/1,169,Individual,Otto Wallach,1847-03-27,Koenigsberg (Kaliningrad),Germany (Russia),Male,Goettingen University,Göttingen,Germany
59,1910,Literature,The Nobel Prize in Literature 1910,1/1,580,Individual,Paul Johann Ludwig Heyse,1830-03-15,Berlin,Prussia (Germany),Male,Self,Self,Self
60,1910,Medicine,The Nobel Prize in Physiology or Medicine 1910,1/1,304,Individual,Albrecht Kossel,1853-09-16,Rostock,Mecklenburg (Germany),Male,University of Heidelberg,Heidelberg,Germany
62,1910,Physics,The Nobel Prize in Physics 1910,1/1,15,Individual,Johannes Diderik van der Waals,1837-11-23,Leiden,Netherlands,Male,Amsterdam University,Amsterdam,Netherlands
64,1911,Literature,The Nobel Prize in Literature 1911,1/1,581,Individual,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,1862-08-29,Ghent,Belgium,Male,Self,Self,Self
65,1911,Medicine,The Nobel Prize in Physiology or Medicine 1911,1/1,305,Individual,Allvar Gullstrand,1862-06-05,Landskrona,Sweden,Male,Uppsala University,Uppsala,Sweden
66,1911,Peace,The Nobel Peace Prize 1911,1/2,478,Individual,Tobias Michael Carel Asser,1838-04-28,Amsterdam,Netherlands,Male,Self,Self,Self
67,1911,Peace,The Nobel Peace Prize 1911,1/2,479,Individual,Alfred Hermann Fried,1864-11-11,Vienna,Austria,Male,Self,Self,Self
68,1911,Physics,The Nobel Prize in Physics 1911,1/1,16,Individual,Wilhelm Wien,1864-01-13,Gaffken (Parusnoye),Prussia (Russia),Male,Würzburg University,Würzburg,Germany
69,1912,Chemistry,The Nobel Prize in Chemistry 1912,1/2,172,Individual,Victor Grignard,1871-05-06,Cherbourg,France,Male,Nancy University,Nancy,France
70,1912,Chemistry,The Nobel Prize in Chemistry 1912,1/2,173,Individual,Paul Sabatier,1854-11-05,Carcassonne,France,Male,Toulouse University,Toulouse,France
71,1912,Literature,The Nobel Prize in Literature 1912,1/1,582,Individual,Gerhart Johann Robert Hauptmann,1862-11-15,Bad Salzbrunn,Prussia (Germany),Male,Self,Self,Self
72,1912,Medicine,The Nobel Prize in Physiology or Medicine 1912,1/1,306,Individual,Alexis Carrel,1873-06-28,Sainte-Foy-lès-Lyon,France,Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America
73,1912,Peace,The Nobel Peace Prize 1912,1/1,480,Individual,Elihu Root,1845-02-15,"Clinton, NY",United States of America,Male,Self,Self,Self
74,1912,Physics,The Nobel Prize in Physics 1912,1/1,17,Individual,Nils Gustaf Dalén,1869-11-30,Stenstorp,Sweden,Male,Swedish Gas-Accumulator Co.,Lidingö-Stockholm,Sweden
75,1913,Chemistry,The Nobel Prize in Chemistry 1913,1/1,174,Individual,Alfred Werner,1866-12-12,Mulhouse,France,Male,University of Zurich,Zurich,Switzerland
76,1913,Literature,The Nobel Prize in Literature 1913,1/1,583,Individual,Rabindranath Tagore,1861-05-07,Calcutta,India,Male,Self,Self,Self
77,1913,Medicine,The Nobel Prize in Physiology or Medicine 1913,1/1,307,Individual,Charles Robert Richet,1850-08-26,Paris,France,Male,Sorbonne University,Paris,France
78,1913,Peace,The Nobel Peace Prize 1913,1/1,481,Individual,Henri La Fontaine,1854-04-22,Brussels,Belgium,Male,Self,Self,Self
79,1913,Physics,The Nobel Prize in Physics 1913,1/1,18,Individual,Heike Kamerlingh Onnes,1853-09-21,Groningen,Netherlands,Male,Leiden University,Leiden,Netherlands
80,1914,Chemistry,The Nobel Prize in Chemistry 1914,1/1,175,Individual,Theodore William Richards,1868-01-31,"Germantown, PA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America
81,1914,Medicine,The Nobel Prize in Physiology or Medicine 1914,1/1,308,Individual,Robert Bárány,1876-04-22,Vienna,Austria,Male,Vienna University,Vienna,Austria
82,1914,Physics,The Nobel Prize in Physics 1914,1/1,19,Individual,Max von Laue,1879-10-09,Pfaffendorf,Germany,Male,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany
83,1915,Chemistry,The Nobel Prize in Chemistry 1915,1/1,176,Individual,Richard Martin Willstätter,1872-08-13,Karlsruhe,Germany,Male,Munich University,Munich,Germany
84,1915,Literature,The Nobel Prize in Literature 1915,1/1,584,Individual,Romain Rolland,1866-01-29,Clamecy,France,Male,Self,Self,Self
85,1915,Physics,The Nobel Prize in Physics 1915,1/2,20,Individual,Sir William Henry Bragg,1862-07-02,Wigton,United Kingdom,Male,University College,London,United Kingdom
86,1915,Physics,The Nobel Prize in Physics 1915,1/2,21,Individual,William Lawrence Bragg,1890-03-31,Adelaide,Australia,Male,Victoria University,Manchester,United Kingdom
87,1916,Literature,The Nobel Prize in Literature 1916,1/1,585,Individual,Carl Gustaf Verner von Heidenstam,1859-07-06,Olshammar,Sweden,Male,Self,Self,Self
88,1917,Literature,The Nobel Prize in Literature 1917,1/2,586,Individual,Karl Adolph Gjellerup,1857-06-02,Roholte,Denmark,Male,Self,Self,Self
89,1917,Literature,The Nobel Prize in Literature 1917,1/2,587,Individual,Henrik Pontoppidan,1857-07-24,Fredericia,Denmark,Male,Self,Self,Self
91,1917,Physics,The Nobel Prize in Physics 1917,1/1,22,Individual,Charles Glover Barkla,1877-06-07,Widnes,United Kingdom,Male,Edinburgh University,Edinburgh,United Kingdom
92,1918,Chemistry,The Nobel Prize in Chemistry 1918,1/1,177,Individual,Fritz Haber,1868-12-09,Breslau (Wroclaw),Prussia (Poland),Male,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany
93,1918,Physics,The Nobel Prize in Physics 1918,1/1,23,Individual,Max Karl Ernst Ludwig Planck,1858-04-23,Kiel,Schleswig (Germany),Male,Berlin University,Berlin,Germany
94,1919,Literature,The Nobel Prize in Literature 1919,1/1,588,Individual,Carl Friedrich Georg Spitteler,1845-04-24,Liestal,Switzerland,Male,Self,Self,Self
95,1919,Medicine,The Nobel Prize in Physiology or Medicine 1919,1/1,309,Individual,Jules Bordet,1870-06-13,Soignies,Belgium,Male,Brussels University,Brussels,Belgium
96,1919,Peace,The Nobel Peace Prize 1919,1/1,483,Individual,Thomas Woodrow Wilson,1856-12-28,"Staunton, VA",United States of America,Male,Self,Self,Self
97,1919,Physics,The Nobel Prize in Physics 1919,1/1,24,Individual,Johannes Stark,1874-04-15,Schickenhof,Germany,Male,Greifswald University,Greifswald,Germany
98,1920,Chemistry,The Nobel Prize in Chemistry 1920,1/1,178,Individual,Walther Hermann Nernst,1864-06-25,Briesen,Prussia (Germany),Male,Berlin University,Berlin,Germany
99,1920,Literature,The Nobel Prize in Literature 1920,1/1,589,Individual,Knut Pedersen Hamsun,1859-08-04,Lom,Norway,Male,Self,Self,Self
100,1920,Medicine,The Nobel Prize in Physiology or Medicine 1920,1/1,310,Individual,Schack August Steenberg Krogh,1874-11-15,Grenå,Denmark,Male,Copenhagen University,Copenhagen,Denmark
101,1920,Peace,The Nobel Peace Prize 1920,1/1,484,Individual,Léon Victor Auguste Bourgeois,1851-05-21,Paris,France,Male,Self,Self,Self
102,1920,Physics,The Nobel Prize in Physics 1920,1/1,25,Individual,Charles Edouard Guillaume,1861-02-15,Fleurier,Switzerland,Male,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Sèvres,France
103,1921,Chemistry,The Nobel Prize in Chemistry 1921,1/1,179,Individual,Frederick Soddy,1877-09-02,Eastbourne,United Kingdom,Male,University of Oxford,Oxford,United Kingdom
104,1921,Literature,The Nobel Prize in Literature 1921,1/1,590,Individual,Anatole France,1844-04-16,Paris,France,Male,Self,Self,Self
105,1921,Peace,The Nobel Peace Prize 1921,1/2,485,Individual,Karl Hjalmar Branting,1860-11-23,Stockholm,Sweden,Male,Self,Self,Self
106,1921,Peace,The Nobel Peace Prize 1921,1/2,486,Individual,Christian Lous Lange,1869-09-17,Stavanger,Norway,Male,Self,Self,Self
107,1921,Physics,The Nobel Prize in Physics 1921,1/1,26,Individual,Albert Einstein,1879-03-14,Ulm,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany
108,1922,Chemistry,The Nobel Prize in Chemistry 1922,1/1,180,Individual,Francis William Aston,1877-09-01,Harborne,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom
109,1922,Literature,The Nobel Prize in Literature 1922,1/1,592,Individual,Jacinto Benavente,1866-08-12,Madrid,Spain,Male,Self,Self,Self
110,1922,Medicine,The Nobel Prize in Physiology or Medicine 1922,1/2,311,Individual,Archibald Vivian Hill,1886-09-26,Bristol,United Kingdom,Male,London University,London,United Kingdom
111,1922,Medicine,The Nobel Prize in Physiology or Medicine 1922,1/2,312,Individual,Otto Fritz Meyerhof,1884-04-12,Hanover,Germany,Male,Kiel University,Kiel,Germany
112,1922,Peace,The Nobel Peace Prize 1922,1/1,487,Individual,Fridtjof Nansen,1861-10-10,Kristiania (Oslo),Norway,Male,Self,Self,Self
113,1922,Physics,The Nobel Prize in Physics 1922,1/1,27,Individual,Niels Henrik David Bohr,1885-10-07,Copenhagen,Denmark,Male,Copenhagen University,Copenhagen,Denmark
114,1923,Chemistry,The Nobel Prize in Chemistry 1923,1/1,181,Individual,Fritz Pregl,1869-09-03,Laibach (Ljubljana),Austria-Hungary (Slovenia),Male,Graz University,Graz,Austria
115,1923,Literature,The Nobel Prize in Literature 1923,1/1,593,Individual,William Butler Yeats,1865-06-13,Dublin,Ireland,Male,Self,Self,Self
116,1923,Medicine,The Nobel Prize in Physiology or Medicine 1923,1/2,313,Individual,Frederick Grant Banting,1891-11-14,Alliston,Canada,Male,University of Toronto,Toronto,Canada
117,1923,Medicine,The Nobel Prize in Physiology or Medicine 1923,1/2,314,Individual,John James Rickard Macleod,1876-09-06,Cluny,Scotland,Male,University of Toronto,Toronto,Canada
118,1923,Physics,The Nobel Prize in Physics 1923,1/1,28,Individual,Robert Andrews Millikan,1868-03-22,"Morrison, IL",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America
119,1924,Literature,The Nobel Prize in Literature 1924,1/1,594,Individual,Wladyslaw Stanislaw Reymont,1867-05-07,Kobiele Wielkie,Russian Empire (Poland),Male,Self,Self,Self
120,1924,Medicine,The Nobel Prize in Physiology or Medicine 1924,1/1,315,Individual,Willem Einthoven,1860-05-21,Semarang,"Java, Dutch East Indies (Indonesia)",Male,Leiden University,Leiden,Netherlands
121,1924,Physics,The Nobel Prize in Physics 1924,1/1,29,Individual,Karl Manne Georg Siegbahn,1886-12-03,Lund,Sweden,Male,Uppsala University,Uppsala,Sweden
122,1925,Chemistry,The Nobel Prize in Chemistry 1925,1/1,182,Individual,Richard Adolf Zsigmondy,1865-04-01,Vienna,Austrian Empire (Austria),Male,Goettingen University,Göttingen,Germany
123,1925,Literature,The Nobel Prize in Literature 1925,1/1,596,Individual,George Bernard Shaw,1856-07-26,Dublin,Ireland,Male,Self,Self,Self
124,1925,Peace,The Nobel Peace Prize 1925,1/2,488,Individual,Sir Austen Chamberlain,1863-10-16,Birmingham,United Kingdom,Male,Self,Self,Self
125,1925,Peace,The Nobel Peace Prize 1925,1/2,489,Individual,Charles Gates Dawes,1865-08-27,"Marietta, OH",United States of America,Male,Self,Self,Self
126,1925,Physics,The Nobel Prize in Physics 1925,1/2,30,Individual,James Franck,1882-08-26,Hamburg,Germany,Male,Goettingen University,Göttingen,Germany
127,1925,Physics,The Nobel Prize in Physics 1925,1/2,31,Individual,Gustav Ludwig Hertz,1887-07-22,Hamburg,Germany,Male,Halle University,Halle,Germany
128,1926,Chemistry,The Nobel Prize in Chemistry 1926,1/1,183,Individual,The (Theodor) Svedberg,1884-08-30,Fleräng,Sweden,Male,Uppsala University,Uppsala,Sweden
129,1926,Literature,The Nobel Prize in Literature 1926,1/1,597,Individual,Grazia Deledda,1871-09-27,"Nuoro, Sardinia",Italy,Female,Self,Self,Self
130,1926,Medicine,The Nobel Prize in Physiology or Medicine 1926,1/1,316,Individual,Johannes Andreas Grib Fibiger,1867-04-23,Silkeborg,Denmark,Male,Copenhagen University,Copenhagen,Denmark
131,1926,Peace,The Nobel Peace Prize 1926,1/2,490,Individual,Aristide Briand,1862-03-28,Nantes,France,Male,Self,Self,Self
132,1926,Peace,The Nobel Peace Prize 1926,1/2,491,Individual,Gustav Stresemann,1878-05-10,Berlin,Germany,Male,Self,Self,Self
133,1926,Physics,The Nobel Prize in Physics 1926,1/1,32,Individual,Jean Baptiste Perrin,1870-09-30,Lille,France,Male,Sorbonne University,Paris,France
134,1927,Chemistry,The Nobel Prize in Chemistry 1927,1/1,184,Individual,Heinrich Otto Wieland,1877-06-04,Pforzheim,Germany,Male,Munich University,Munich,Germany
135,1927,Literature,The Nobel Prize in Literature 1927,1/1,600,Individual,Henri Bergson,1859-10-18,Paris,France,Male,Self,Self,Self
136,1927,Medicine,The Nobel Prize in Physiology or Medicine 1927,1/1,317,Individual,Julius Wagner-Jauregg,1857-03-07,Wels,Austria,Male,Vienna University,Vienna,Austria
137,1927,Peace,The Nobel Peace Prize 1927,1/2,492,Individual,Ferdinand Buisson,1841-12-20,Paris,France,Male,Self,Self,Self
138,1927,Peace,The Nobel Peace Prize 1927,1/2,493,Individual,Ludwig Quidde,1858-03-23,Bremen,Germany,Male,Self,Self,Self
139,1927,Physics,The Nobel Prize in Physics 1927,1/2,33,Individual,Arthur Holly Compton,1892-09-10,"Wooster, OH",United States of America,Male,University of Chicago,"Chicago, IL",United States of America
140,1927,Physics,The Nobel Prize in Physics 1927,1/2,34,Individual,Charles Thomson Rees Wilson,1869-02-14,Glencorse,Scotland,Male,University of Cambridge,Cambridge,United Kingdom
141,1928,Chemistry,The Nobel Prize in Chemistry 1928,1/1,185,Individual,Adolf Otto Reinhold Windaus,1876-12-25,Berlin,Germany,Male,Goettingen University,Göttingen,Germany
142,1928,Literature,The Nobel Prize in Literature 1928,1/1,601,Individual,Sigrid Undset,1882-05-20,Kalundborg,Denmark,Female,Self,Self,Self
143,1928,Medicine,The Nobel Prize in Physiology or Medicine 1928,1/1,318,Individual,Charles Jules Henri Nicolle,1866-09-21,Rouen,France,Male,Institut Pasteur,Tunis,Tunisia
144,1928,Physics,The Nobel Prize in Physics 1928,1/1,35,Individual,Owen Willans Richardson,1879-04-26,Dewsbury,United Kingdom,Male,London University,London,United Kingdom
145,1929,Chemistry,The Nobel Prize in Chemistry 1929,1/2,186,Individual,Arthur Harden,1865-10-12,Manchester,United Kingdom,Male,London University,London,United Kingdom
146,1929,Chemistry,The Nobel Prize in Chemistry 1929,1/2,187,Individual,Hans Karl August Simon von Euler-Chelpin,1873-02-15,Augsburg,Germany,Male,Stockholm University,Stockholm,Sweden
147,1929,Literature,The Nobel Prize in Literature 1929,1/1,602,Individual,Thomas Mann,1875-06-06,Lübeck,Germany,Male,Self,Self,Self
148,1929,Medicine,The Nobel Prize in Physiology or Medicine 1929,1/2,319,Individual,Christiaan Eijkman,1858-08-11,Nijkerk,Netherlands,Male,Utrecht University,Utrecht,Netherlands
149,1929,Medicine,The Nobel Prize in Physiology or Medicine 1929,1/2,320,Individual,Sir Frederick Gowland Hopkins,1861-06-20,Eastbourne,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom
150,1929,Peace,The Nobel Peace Prize 1929,1/1,494,Individual,Frank Billings Kellogg,1856-12-22,"Potsdam, NY",United States of America,Male,Self,Self,Self
151,1929,Physics,The Nobel Prize in Physics 1929,1/1,36,Individual,Prince Louis-Victor Pierre Raymond de Broglie,1892-08-15,Dieppe,France,Male,"Sorbonne University, Institut Henri Poincaré",Paris,France
152,1930,Chemistry,The Nobel Prize in Chemistry 1930,1/1,188,Individual,Hans Fischer,1881-07-27,Hoechst,Germany,Male,Technische Hochschule (Institute of Technology),Munich,Germany
153,1930,Literature,The Nobel Prize in Literature 1930,1/1,603,Individual,Sinclair Lewis,1885-02-07,"Sauk Centre, MN",United States of America,Male,Self,Self,Self
154,1930,Medicine,The Nobel Prize in Physiology or Medicine 1930,1/1,321,Individual,Karl Landsteiner,1868-06-14,Vienna,Austrian Empire (Austria),Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America
155,1930,Peace,The Nobel Peace Prize 1930,1/1,495,Individual,Lars Olof Jonathan (Nathan) Söderblom,1866-01-15,Trönö,Sweden,Male,Self,Self,Self
156,1930,Physics,The Nobel Prize in Physics 1930,1/1,37,Individual,Sir Chandrasekhara Venkata Raman,1888-11-07,Tiruchirappalli,India,Male,Calcutta University,Calcutta,India
157,1931,Chemistry,The Nobel Prize in Chemistry 1931,1/2,189,Individual,Carl Bosch,1874-08-27,Cologne,Germany,Male,University of Heidelberg,Heidelberg,Germany
159,1931,Chemistry,The Nobel Prize in Chemistry 1931,1/2,190,Individual,Friedrich Bergius,1884-10-11,"Goldschmieden, near Breslau",Germany (Poland),Male,University of Heidelberg,Heidelberg,Germany
161,1931,Literature,The Nobel Prize in Literature 1931,1/1,604,Individual,Erik Axel Karlfeldt,1864-07-20,Karlbo,Sweden,Male,Self,Self,Self
162,1931,Medicine,The Nobel Prize in Physiology or Medicine 1931,1/1,322,Individual,Otto Heinrich Warburg,1883-10-08,Freiburg im Breisgau,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biologie,Berlin-Dahlem,Germany
163,1931,Peace,The Nobel Peace Prize 1931,1/2,496,Individual,Jane Addams,1860-09-06,"Cedarville, IL",United States of America,Female,Self,Self,Self
164,1931,Peace,The Nobel Peace Prize 1931,1/2,497,Individual,Nicholas Murray Butler,1862-04-02,"Elizabeth, NJ",United States of America,Male,Columbia University,"New York, NY",United States of America
